,coin_id,target_coin_id
0,hanu-yokia,ethereum
1,fei-protocol,ethereum
2,usd-coin,ethereum
3,tether,ethereum
4,terrausd,ethereum
5,tribe-2,ethereum
6,wise-token11,ethereum
7,frax,usd-coin
8,frax,ethereum
9,wrapped-bitcoin,ethereum
10,dai,ethereum
11,acreage-coin,ethereum
12,uniswap,ethereum
13,dea,usd-coin
14,chainlink,ethereum
15,wrapped-dogecoin,ethereum
16,frax-share,ethereum
17,defipulse-index,ethereum
18,fnkcom,ethereum
19,pax-gold,ethereum
20,hermez-network-token,ethereum
21,maker,ethereum
22,paxos-standard,ethereum
23,rai,ethereum
24,barnbridge,ethereum
25,aave,ethereum
26,hex,ethereum
27,mirror-protocol,ethereum
28,the-sandbox,ethereum
29,cardstarter,ethereum
30,dao-maker,usd-coin
31,oiler,usd-coin
32,mettalex,tether
33,alchemist,ethereum
34,rally-2,ethereum
35,renbtc,ethereum
36,tokenlon,ethereum
37,fox-token,ethereum
38,tornado-cash,ethereum
39,superfarm,ethereum
40,ampleforth,ethereum
41,wootrade-network,ethereum
42,dao-maker,ethereum
43,mcdex,ethereum
44,polkastarter,ethereum
45,govi,ethereum
46,waxe,ethereum
47,mettalex,ethereum
48,kokoswap,ethereum
49,harvest-finance,ethereum
50,ankreth,ethereum
51,lympo,ethereum
52,reflexer-ungovernance-token,ethereum
53,allianceblock,ethereum
54,oiler,ethereum
55,tenset,ethereum
56,perpetual-protocol,ethereum
57,wrapped-terra,ethereum
58,matic-network,ethereum
59,keep-network,ethereum
60,compound-governance-token,ethereum
61,binance-wrapped-btc,ethereum
62,pooltogether,ethereum
63,ethernity-chain,ethereum
64,basic-attention-token,ethereum
65,strong,ethereum
66,robo-token,ethereum
67,insurace,usd-coin
68,coinvest,ethereum
69,badger-dao,ethereum
70,eth-2x-flexible-leverage-index,ethereum
71,futureswap,ethereum
72,wrapped-crescofin,ethereum
73,lattice-token,ethereum
74,curve-dao-token,ethereum
75,kleros,ethereum
76,dopex,ethereum
77,audius,ethereum
78,amp-token,ethereum
79,chain-games,ethereum
80,yield-app,ethereum
81,dlp-duck-token,ethereum
82,metaverse-index,ethereum
83,bridge-mutual,ethereum
84,fetch-ai,ethereum
85,charli3,ethereum
86,defi-top-5-tokens-index,ethereum
87,yearn-finance,ethereum
88,revv,ethereum
89,shopping-io,ethereum
90,kira-network,ethereum
91,e-radix,ethereum
92,concentrated-voting-power,ethereum
93,dego-finance,ethereum
94,dxsale-network,ethereum
95,deus-finance,ethereum
96,muse-2,ethereum
97,benchmark-protocol,ethereum
98,wrapped-celo,ethereum
99,bifrost,ethereum
