,asset1,asset2,value,abs_value
387,FIL-USD,THETA-USD,0.022831969270422626,0.022831969270422626
487,CRO-USD,FIL-USD,0.027272273235694405,0.027272273235694405
945,FIL-USD,ZIL-USD,0.06680473787625865,0.06680473787625865
488,BTT1-USD,FIL-USD,0.07250643723008647,0.07250643723008647
821,FIL-USD,WAVES-USD,0.07369336578272666,0.07369336578272666
263,FIL-USD,LINK-USD,0.09241642039918954,0.09241642039918954
467,BNB-USD,FIL-USD,0.0957889984514162,0.0957889984514162
449,FIL-USD,TRX-USD,0.09584837437557306,0.09584837437557306
666,FIL-USD,MKR-USD,0.09620454051982666,0.09620454051982666
852,FIL-USD,SNX-USD,0.09675190027966667,0.09675190027966667
483,BSV-USD,FIL-USD,0.1015512614445367,0.1015512614445367
325,FIL-USD,VET-USD,0.1028117380461351,0.1028117380461351
542,FIL-USD,XMR-USD,0.11012580155061476,0.11012580155061476
469,DOGE-USD,FIL-USD,0.11049036906031348,0.11049036906031348
859,CRO-USD,SNX-USD,0.11768678802425159,0.11768678802425159
604,FIL-USD,MIOTA-USD,0.11926724924347112,0.11926724924347112
394,CRO-USD,THETA-USD,0.1216984225996895,0.1216984225996895
476,ETC-USD,FIL-USD,0.14003641777255868,0.14003641777255868
232,FIL-USD,LTC-USD,0.142049889102891,0.142049889102891
511,FIL-USD,NEO-USD,0.14267467461193212,0.14267467461193212
